File,Lines,SLOC,CLOC,Funcs,Classes,object,case object,class,case class,abstract class,trait,extends,with
server/app/generator/model/style/color/ColorOrGradient.scala,7,5,0,2,0,0,0,0,0,0,1,0,0
server/app/generator/model/style/color/ColorWithTransparency.scala,9,4,3,1,0,0,0,0,0,0,1,0,0
server/app/generator/model/style/color/RGBColor.scala,15,10,0,4,2,1,0,1,0,0,0,1,0
server/app/generator/model/style/color/Transparent.scala,6,4,0,1,1,1,1,0,0,0,0,1,1
server/app/generator/model/style/gradient/Gradient.scala,19,15,0,2,2,1,0,1,0,0,0,1,1
server/app/generator/model/style/gradient/GradientAlignment.scala,18,13,3,1,4,3,2,1,0,1,0,2,0
server/app/generator/model/style/gradient/GradientColorArea.scala,6,3,0,0,1,0,0,1,1,0,0,0,0
server/app/generator/model/style/HasStyle.scala,9,4,3,0,0,0,0,0,0,0,1,0,0
server/app/generator/model/style/LineStyle.scala,25,19,3,6,7,6,5,1,0,0,0,5,0
server/app/generator/model/style/Style.scala,208,146,38,22,2,1,0,1,0,0,0,2,1
server/app/generator/model/style/StyleContainerElement.scala,4,2,0,0,1,0,0,1,0,1,0,0,0
server/app/generator/parser/Cache.scala,32,24,4,6,1,0,0,1,1,0,0,0,0
server/app/generator/parser/CommonParserMethods.scala,65,49,13,26,0,0,0,0,0,0,1,1,0
server/app/generator/parser/package.scala,38,25,5,17,1,1,0,0,0,0,0,0,0
server/app/generator/parser/SprayParser.scala,417,352,28,61,8,0,0,8,7,0,0,1,0
server/app/jobs/AuthTokenCleaner.scala,57,37,12,1,3,2,1,1,0,0,0,1,1
server/app/jobs/Scheduler.scala,20,12,3,0,1,0,0,1,0,0,0,0,0
server/app/models/authenticators/SGCookieAuthenticator.scala,480,264,184,13,6,2,0,4,3,0,0,3,2
server/app/models/AuthToken.scala,19,8,7,0,1,0,0,1,1,0,0,0,0
server/app/models/codeEditor/CodeDocumentDb.scala,62,40,7,9,2,1,0,1,1,0,0,0,0
server/app/models/codeEditor/CodeDocWsActor.scala,135,106,8,4,5,2,0,3,1,0,0,2,1
server/app/models/daos/AuthTokenDAO.scala,46,11,26,4,0,0,0,0,0,0,1,0,0
server/app/models/daos/AuthTokenDAOImpl.scala,70,27,32,4,2,1,0,1,0,0,0,1,0
server/app/models/daos/SGAuthInfoDAO.scala,128,65,39,6,1,0,0,1,0,0,0,1,0
server/app/models/daos/SGUserDAO.scala,131,74,33,7,1,0,0,1,0,0,0,1,0
server/app/models/daos/UserDAO.scala,39,10,21,3,0,0,0,0,0,0,1,0,0
server/app/models/daos/UserDAOImpl.scala,57,22,27,3,2,1,0,1,0,0,0,1,0
server/app/models/metaModel/MetaModelWsActor.scala,34,22,4,2,2,1,0,1,0,0,0,1,0
server/app/models/model/DataVisActor.scala,83,54,18,6,4,2,0,5,2,0,0,1,1
server/app/models/model/ModelWsActor.scala,58,47,0,2,5,1,0,4,3,0,0,1,0
server/app/models/services/AuthTokenService.scala,40,11,21,3,0,0,0,0,0,0,1,0,0
server/app/models/services/AuthTokenServiceImpl.scala,55,23,24,3,1,0,0,1,0,0,0,1,0
server/app/models/services/UserService.scala,42,11,23,3,0,0,0,0,0,0,1,1,0
server/app/models/services/UserServiceImpl.scala,77,37,33,4,1,0,0,1,0,0,0,1,0
server/app/models/ShortUuid.scala,10,3,5,1,1,1,0,0,0,0,0,0,0
server/app/modules/BaseModule.scala,42,18,18,3,1,0,0,1,0,0,0,1,1
server/app/modules/JobModule.scala,20,10,6,1,1,0,0,1,0,0,0,1,1
server/app/modules/SilhouetteModule.scala,451,227,177,23,1,0,0,1,0,0,0,1,1
server/app/util/datavis/domain/Comparator.scala,26,20,0,6,7,0,0,7,6,1,0,6,0
server/app/util/datavis/domain/Conditional.scala,5,4,0,0,3,0,0,3,0,0,0,0,0
server/app/util/datavis/domain/Operand.scala,27,19,0,4,8,0,0,8,5,3,0,7,0
server/app/util/datavis/generator/ListenersGenerator.scala,68,42,0,9,1,0,0,1,0,0,0,0,0
server/app/util/datavis/parser/DataVisParsers.scala,48,34,1,18,0,0,0,0,0,0,1,1,0
server/app/util/datavis/validator/ConstrainedDataVisValidator.scala,30,20,0,6,1,0,0,1,0,0,0,1,0
server/app/util/datavis/validator/DataVisValidator.scala,83,68,0,12,1,0,0,1,0,0,0,0,0
server/app/util/domain/AbstractTypes.scala,16,12,1,3,1,0,0,1,0,1,3,0,0
server/app/util/domain/MAttribute.scala,50,43,0,0,7,0,0,7,5,1,0,7,1
server/app/util/domain/MClass.scala,16,10,0,5,1,0,0,1,1,0,0,1,1
server/app/util/domain/MEnum.scala,8,6,0,0,3,0,0,3,2,0,0,3,0
server/app/util/domain/Metamodel.scala,10,9,0,1,1,0,0,1,0,0,0,0,0
server/app/util/domain/MLinkDef.scala,4,2,0,0,1,0,0,1,0,0,0,1,0
server/app/util/domain/MReference.scala,11,7,0,1,1,0,0,1,1,0,0,1,1
server/app/util/graph/MetamodelGraphDiff.scala,170,142,0,17,1,1,0,0,0,0,0,0,0
server/app/util/MetamodelBuilder.scala,285,10,272,2,2,1,0,2,0,0,0,0,0
server/app/utils/auth/CustomSecuredErrorHandler.scala,43,15,21,2,1,0,0,1,0,0,0,1,1
server/app/utils/auth/CustomUnsecuredErrorHandler.scala,26,10,11,1,1,0,0,1,0,0,0,1,0
server/app/utils/auth/Env.scala,14,8,3,0,0,0,0,0,0,0,1,1,0
server/app/utils/auth/RepositoryFactory.scala,29,16,6,4,1,0,0,1,0,0,1,1,0
server/app/utils/auth/WithProvider.scala,34,13,15,1,1,0,0,1,1,0,0,1,0
server/app/utils/Filters.scala,16,9,3,1,1,0,0,1,0,0,0,1,0
server/app/utils/Logger.scala,13,4,6,0,0,0,0,0,0,0,1,0,0
server/app/utils/route/Binders.scala,25,13,6,2,2,2,0,0,0,0,0,1,0
shared/src/main/scala/shared/CodeEditorMessage.scala,18,10,0,0,6,1,0,5,5,0,1,5,0
shared/src/main/scala/shared/DiagramWSMessage.scala,15,12,0,0,7,2,0,5,5,0,2,5,0
